item_name,survey,study,year,prop_r_correct,prop_d_correct,dem_minus_rep,std.error,statistic,p.value,n_dem,n_rep,prop_correct_all
jnj_90,jnj,Jerit & Barabas,-1,0.49792531120331945,0.44796380090497734,-0.04996151029834212,0.04654772508948478,-1.07333946400806,0.2836815657775426,221,241,0.47402597402597396
jnj_96,jnj,Jerit & Barabas,-1,0.3642564802182842,0.3309352517985639,-0.03332122841972028,0.02409308839226805,-1.3830202204551627,0.16685594507978657,834,733,0.34652201659221715
jnj_97,jnj,Jerit & Barabas,-1,0.590723055934526,0.5875299760191944,-0.0031930799153316266,0.02492581249084858,-0.12810334333149437,0.8980836489997086,834,733,0.5890236119974573
jnj_98,jnj,Jerit & Barabas,-1,0.41397849462365627,0.4318181818181825,0.01783968719452621,0.0493336653820357,0.36161284705641056,0.7178304099609459,220,186,0.4236453201970449
jnj_99,jnj,Jerit & Barabas,-1,0.3118279569892481,0.327272727272728,0.015444770283479924,0.04658098195949789,0.33156815579605287,0.7403872980388997,220,186,0.3201970443349761
jnj_100,jnj,Jerit & Barabas,-1,0.724193548387085,0.7007518796992366,-0.02344166868784843,0.02528983792012528,-0.9269204793595729,0.35414215194913967,665,620,0.712062256809327
jnj_101,jnj,Jerit & Barabas,-1,0.4967741935483811,0.4691729323308205,-0.02760126121756055,0.02790751581762232,-0.9890260888119471,0.3228368581822655,665,620,0.4824902723735347
jnj_103,jnj,Jerit & Barabas,-1,0.42355889724310597,0.4118895966029707,-0.011669300640135275,0.03358693176106989,-0.34743574444811265,0.728348209933515,471,399,0.4172413793103431
jnj_104,jnj,Jerit & Barabas,-1,0.4461152882205496,0.3821656050955394,-0.06394968312501019,0.03345086345163534,-1.9117498481757078,0.05623729442067164,471,399,0.4114942528735616
jnj_105,jnj,Jerit & Barabas,-1,0.32080200501253114,0.5159235668789791,0.19512156186644794,0.0330309925025633,5.907226731116419,4.992072656219965e-9,471,399,0.4264367816091935
jnj_106,jnj,Jerit & Barabas,-1,0.27318295739348386,0.41825902335456355,0.14507606596107972,0.03215206806808309,4.5121845865054855,7.299375192447909e-6,471,399,0.35172413793103335
jnj_107,jnj,Jerit & Barabas,-1,0.31328320802004983,0.4394904458598718,0.12620723783982196,0.03281205704191765,3.8463677445943505,1.286513382384702e-4,471,399,0.38160919540229776
jnj_108,jnj,Jerit & Barabas,-1,0.385964912280701,0.4755838641188936,0.08961895183819257,0.03362808618898103,2.665003037477588,0.007841712009240715,471,399,0.4344827586206877
jnj_109,jnj,Jerit & Barabas,-1,0.39097744360902065,0.3588110403397013,-0.03216640326931937,0.03293401316720197,-0.9766924882799572,0.3289935353127611,471,399,0.37356321839080303
jnj_110,jnj,Jerit & Barabas,-1,0.09774436090225545,0.07643312101910829,-0.021311239883147162,0.01910497039963192,-1.1154814395084196,0.2649528947647303,471,399,0.08620689655172414
jnj_111,jnj,Jerit & Barabas,-1,0.35839598997493655,0.4989384288747326,0.1405424388997961,0.03342671329349148,4.204494700565165,2.8880637810605615e-5,471,399,0.4344827586206877
jnj_112,jnj,Jerit & Barabas,-1,0.3984962406015021,0.5265392781316323,0.12804303753013013,0.03370940832076388,3.798436220289867,1.5575833711082874e-4,471,399,0.46781609195402035
jnj_113,jnj,Jerit & Barabas,-1,0.5239179954441865,0.5893223819301796,0.06540438648599314,0.032646226150409005,2.003428702131126,0.04542290108917996,487,439,0.5583153347732128
jnj_114,jnj,Jerit & Barabas,-1,0.4487471526195869,0.4804928131416804,0.03174566052209347,0.032846500010446325,0.9664853336579924,0.3340542714700029,487,439,0.4654427645788303
jnj_115,jnj,Jerit & Barabas,-1,0.5793650793650793,0.5407407407407409,-0.038624338624338415,0.061687172936757094,-0.6261324159552075,0.531779500057884,135,126,0.5593869731800767
jnj_116,jnj,Jerit & Barabas,-1,0.6746031746031743,0.6296296296296298,-0.04497354497354461,0.05919154173729562,-0.7597968164631792,0.44806707035425475,135,126,0.6513409961685821
jnj_117,jnj,Jerit & Barabas,-1,0.34126984126984217,0.38518518518518596,0.04391534391534377,0.05976702346942587,0.7347754893266333,0.46314098778392465,135,126,0.3639846743295028
jnj_118,jnj,Jerit & Barabas,-1,0.5158730158730174,0.5111111111111122,-0.004761904761905172,0.06215088241310537,-0.07661845780810762,0.9389862269180932,135,126,0.513409961685825
jnj_119,jnj,Jerit & Barabas,-1,0.4841269841269861,0.48888888888888965,0.004761904761903501,0.06215088241310535,0.07661845780808076,0.9389862269181146,135,126,0.4865900383141776
jnj_122,jnj,Jerit & Barabas,-1,0.3766233766233769,0.2707182320442002,-0.10590514457917671,0.05093740855714072,-2.079123135217492,0.03837102523816439,181,154,0.31940298507462755
jnj_124,jnj,Jerit & Barabas,-1,0.34250764525993654,0.42696629213482906,0.0844586468748925,0.03721347819614534,2.269571428656216,0.023545447773606013,356,327,0.3865300146412857
jnj_125,jnj,Jerit & Barabas,-1,0.25993883792048816,0.24719101123595347,-0.012747826684534691,0.03335716582140421,-0.38216156470807916,0.702460757122768,356,327,0.25329428989750963
jnj_126,jnj,Jerit & Barabas,-1,0.5168195718654394,0.5112359550561758,-0.005583616809263503,0.03833923171350674,-0.14563715963292034,0.8842509272354994,356,327,0.513909224011709
jnj_127,jnj,Jerit & Barabas,-1,0.2385321100917422,0.2247191011235942,-0.013813008968147982,0.0323427996976069,-0.42708142453017234,0.6694550138931442,356,327,0.23133235724743667
jnj_128,jnj,Jerit & Barabas,-1,0.6177370030580986,0.6264044943820175,0.008667491323918825,0.0371890056744191,0.2330659604024009,0.8157802202137048,356,327,0.6222547584187357
jnj_129,jnj,Jerit & Barabas,-1,0.5412844036697204,0.4747191011235915,-0.06656530254612893,0.038266420460532316,-1.739522582593892,0.08239469914802412,356,327,0.506588579795018
jnj_130,jnj,Jerit & Barabas,-1,0.3853211009174286,0.46629213483145765,0.08097103391402903,0.03782255674868684,2.140813336656313,0.03264352430150708,356,327,0.4275256222547553
